trial,view,video_path,delta_z,success,joint_values
0,side,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\side\trial_000_view-side_dz-+0.336_success-1.mp4,0.335851,1,"1.3062 1.4934 0.0819 -0.5156 1.6233 1.8891 -1.2200"
0,top,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\top\trial_000_view-top_dz-+0.336_success-1.mp4,0.335851,1,"1.3062 1.4934 0.0819 -0.5156 1.6233 1.8891 -1.2200"
1,side,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\side\trial_001_view-side_dz-+0.301_success-1.mp4,0.300609,1,"1.3473 1.4648 -0.0134 -0.5520 1.6522 1.7547 -1.2961"
1,top,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\top\trial_001_view-top_dz-+0.301_success-1.mp4,0.300609,1,"1.3473 1.4648 -0.0134 -0.5520 1.6522 1.7547 -1.2961"
2,side,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\side\trial_002_view-side_dz-+0.042_success-1.mp4,0.042207,1,"1.2376 1.4634 0.0227 -0.5366 1.6707 1.9231 -1.2916"
2,top,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\top\trial_002_view-top_dz-+0.042_success-1.mp4,0.042207,1,"1.2376 1.4634 0.0227 -0.5366 1.6707 1.9231 -1.2916"
3,side,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\side\trial_003_view-side_dz--0.038_success-0.mp4,-0.037740,0,"1.3682 1.4667 0.0675 -0.4756 1.6548 1.8338 -1.3313"
3,top,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\top\trial_003_view-top_dz--0.038_success-0.mp4,-0.037740,0,"1.3682 1.4667 0.0675 -0.4756 1.6548 1.8338 -1.3313"
4,side,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\side\trial_004_view-side_dz-+0.351_success-1.mp4,0.351446,1,"1.2770 1.5110 -0.0006 -0.5313 1.6421 1.8980 -1.2745"
4,top,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\top\trial_004_view-top_dz-+0.351_success-1.mp4,0.351446,1,"1.2770 1.5110 -0.0006 -0.5313 1.6421 1.8980 -1.2745"
